name,badge,discount,price,old_price,product_url,product_link,image_url,image_link
PADEL ADIDAS ADIPOWER LITE 3.1 2022,Out of stock,0,5495.0,20500.0,https://www.padelnuestro.com/int/adidas-adipower-lite-3-1-2022-25665-p,"=HYPERLINK(""https://www.padelnuestro.com/int/adidas-adipower-lite-3-1-2022-25665-p"",""View"")","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=","=HYPERLINK(""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="",""Img"")"
ADIDAS ADIPOWER 3.0,Exclusive,65,11995.0,34000.0,https://www.padelnuestro.com/int/adidas-adipower-3-0-21765-p,"=HYPERLINK(""https://www.padelnuestro.com/int/adidas-adipower-3-0-21765-p"",""View"")","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=","=HYPERLINK(""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="",""Img"")"
ADIDAS ADIPOWER GREENPADEL 2022,,48,11995.0,23000.0,https://www.padelnuestro.com/int/adidas-adipower-greenpadel-2022-25661-p,"=HYPERLINK(""https://www.padelnuestro.com/int/adidas-adipower-greenpadel-2022-25661-p"",""View"")","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=","=HYPERLINK(""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="",""Img"")"
ADIDAS X5 ULTIMATE RED,Exclusive,70,6995.0,22995.0,https://www.padelnuestro.com/int/adidas-x5-ultimate-red-29988-p,"=HYPERLINK(""https://www.padelnuestro.com/int/adidas-x5-ultimate-red-29988-p"",""View"")","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=","=HYPERLINK(""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="",""Img"")"
ADIDAS ADIPOWER CTRL LITE 3.1 2022,,37,12995.0,20500.0,https://www.padelnuestro.com/int/adidas-adipower-ctrl-lite-3-1-2022-25666-p,"=HYPERLINK(""https://www.padelnuestro.com/int/adidas-adipower-ctrl-lite-3-1-2022-25666-p"",""View"")","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=","=HYPERLINK(""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="",""Img"")"
ADIDAS CROSS IT LIGHT,,47,15995.0,29995.0,https://www.padelnuestro.com/int/adidas-cross-it-light-110134-p,"=HYPERLINK(""https://www.padelnuestro.com/int/adidas-cross-it-light-110134-p"",""View"")","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=","=HYPERLINK(""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="",""Img"")"
WOMEN’S ADIDAS RADOGAR PADEL RACKET,Exclusive,68,6995.0,21995.0,https://www.padelnuestro.com/int/women-s-adidas-radogar-padel-racket-23575-p,"=HYPERLINK(""https://www.padelnuestro.com/int/women-s-adidas-radogar-padel-racket-23575-p"",""View"")","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=","=HYPERLINK(""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="",""Img"")"
ADIDAS RADOGAR ATTK,Exclusive,68,6995.0,21995.0,https://www.padelnuestro.com/int/adidas-radogar-attk-22963-p,"=HYPERLINK(""https://www.padelnuestro.com/int/adidas-radogar-attk-22963-p"",""View"")","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=","=HYPERLINK(""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="",""Img"")"
ADIDAS X5 ULTIMATE YELLOW,Exclusive,70,6995.0,22995.0,https://www.padelnuestro.com/int/adidas-x5-ultimate-yellow-29989-p,"=HYPERLINK(""https://www.padelnuestro.com/int/adidas-x5-ultimate-yellow-29989-p"",""View"")","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=","=HYPERLINK(""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="",""Img"")"
ADIDAS ADIPOWER MULTIWEIGHT 3.3,,53,18995.0,39995.0,https://www.padelnuestro.com/int/adidas-adipower-multiweight-3-3-110129-p,"=HYPERLINK(""https://www.padelnuestro.com/int/adidas-adipower-multiweight-3-3-110129-p"",""View"")","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=","=HYPERLINK(""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="",""Img"")"
ADIDAS ADIPOWER MULTIWEIGHT CTRL 3.3,,55,17995.0,39995.0,https://www.padelnuestro.com/int/adidas-adipower-multiweight-ctrl-3-3-110130-p,"=HYPERLINK(""https://www.padelnuestro.com/int/adidas-adipower-multiweight-ctrl-3-3-110130-p"",""View"")","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=","=HYPERLINK(""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="",""Img"")"
ADIDAS MATCH LTD,Exclusive,33,5995.0,8995.0,https://www.padelnuestro.com/int/adidas-match-ltd-22962-p,"=HYPERLINK(""https://www.padelnuestro.com/int/adidas-match-ltd-22962-p"",""View"")","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=","=HYPERLINK(""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="",""Img"")"
ADIDAS METALBONE CTRL 3.3 2024,,50,18995.0,37995.0,https://www.padelnuestro.com/int/adidas-metalbone-ctrl-3-3-2024-110144-p,"=HYPERLINK(""https://www.padelnuestro.com/int/adidas-metalbone-ctrl-3-3-2024-110144-p"",""View"")","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=","=HYPERLINK(""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="",""Img"")"
ADIDAS METALBONE TEAM 3.3 2024,,30,13995.0,19995.0,https://www.padelnuestro.com/int/adidas-metalbone-team-3-3-2024-110146-p,"=HYPERLINK(""https://www.padelnuestro.com/int/adidas-metalbone-team-3-3-2024-110146-p"",""View"")","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=","=HYPERLINK(""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="",""Img"")"
ADIDAS CARBON CTRL 2.0,Exclusive,64,9195.0,25500.0,https://www.padelnuestro.com/int/adidas-carbon-ctrl-2-0-19106-p,"=HYPERLINK(""https://www.padelnuestro.com/int/adidas-carbon-ctrl-2-0-19106-p"",""View"")","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=","=HYPERLINK(""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="",""Img"")"
ADIDAS X-TREME WHITE GOLD PADEL RACKET,Exclusive,73,5995.0,22000.0,https://www.padelnuestro.com/int/adidas-x-treme-white-gold-padel-racket-30000-p,"=HYPERLINK(""https://www.padelnuestro.com/int/adidas-x-treme-white-gold-padel-racket-30000-p"",""View"")","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=","=HYPERLINK(""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="",""Img"")"
ADIDAS METALBONE GREENPADEL 2022,,46,12995.0,24000.0,https://www.padelnuestro.com/int/adidas-metalbone-greenpadel-2022-25656-p,"=HYPERLINK(""https://www.padelnuestro.com/int/adidas-metalbone-greenpadel-2022-25656-p"",""View"")","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=","=HYPERLINK(""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="",""Img"")"
ADIDAS METALBONE 3.4 2025 - ALE GALÁN,,18,31995.0,38995.0,https://www.padelnuestro.com/int/adidas-metalbone-3-4-2025,"=HYPERLINK(""https://www.padelnuestro.com/int/adidas-metalbone-3-4-2025"",""View"")","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=","=HYPERLINK(""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="",""Img"")"
ADIDAS METALBONE HRD+ 3.4 2025,,15,32995.0,38995.0,https://www.padelnuestro.com/int/pala-adidas-metalbone-hrd-3-4-ar1aa1u22,"=HYPERLINK(""https://www.padelnuestro.com/int/pala-adidas-metalbone-hrd-3-4-ar1aa1u22"",""View"")","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=","=HYPERLINK(""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="",""Img"")"
ADIDAS METALBONE 09 2025,,14,18995.0,21995.0,https://www.padelnuestro.com/int/adidas-metalbone-09-2025,"=HYPERLINK(""https://www.padelnuestro.com/int/adidas-metalbone-09-2025"",""View"")","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=","=HYPERLINK(""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="",""Img"")"
ADIDAS ADIPOWER CARBON CTRL 2025,,9,24495.0,26995.0,https://www.padelnuestro.com/int/adidas-adipower-carbon-ctrl-2025,"=HYPERLINK(""https://www.padelnuestro.com/int/adidas-adipower-carbon-ctrl-2025"",""View"")","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=","=HYPERLINK(""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="",""Img"")"
ADIDAS METALBONE CTRL 3.4 2025,,15,32995.0,38995.0,https://www.padelnuestro.com/int/adidas-metalbone-ctrl-3-4-2025,"=HYPERLINK(""https://www.padelnuestro.com/int/adidas-metalbone-ctrl-3-4-2025"",""View"")","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=","=HYPERLINK(""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="",""Img"")"
ADIDAS ADIPOWER CTRL MTW PRO EDT BY ALEX RUIZ,,49,22995.0,45000.0,https://www.padelnuestro.com/int/adidas-adipower-ctrl-mtw-pro-edt-by-alex-ruiz-112032-p,"=HYPERLINK(""https://www.padelnuestro.com/int/adidas-adipower-ctrl-mtw-pro-edt-by-alex-ruiz-112032-p"",""View"")","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=","=HYPERLINK(""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="",""Img"")"
ADIDAS ADIPOWER CARBON LIGHT 2025,,20,21495.0,26995.0,https://www.padelnuestro.com/int/adidas-adipower-carbon-light-2025,"=HYPERLINK(""https://www.padelnuestro.com/int/adidas-adipower-carbon-light-2025"",""View"")","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=","=HYPERLINK(""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="",""Img"")"
ADIDAS CROSS IT CTRL,,57,14995.0,34995.0,https://www.padelnuestro.com/int/adidas-cross-it-ctrl-110133-p,"=HYPERLINK(""https://www.padelnuestro.com/int/adidas-cross-it-ctrl-110133-p"",""View"")","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=","=HYPERLINK(""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="",""Img"")"
ADIDAS METALBONE HRD+,,47,20495.0,38995.0,https://www.padelnuestro.com/int/adidas-metalbone-hrd-110145-p,"=HYPERLINK(""https://www.padelnuestro.com/int/adidas-metalbone-hrd-110145-p"",""View"")","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=","=HYPERLINK(""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="",""Img"")"
ADIDAS X-TREME ORANGE BLACK,Exclusive,73,5995.0,21995.0,https://www.padelnuestro.com/int/adidas-x-treme-orange-black-30446-p,"=HYPERLINK(""https://www.padelnuestro.com/int/adidas-x-treme-orange-black-30446-p"",""View"")","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=","=HYPERLINK(""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="",""Img"")"
ADIDAS CROSS IT CARBON CTRL 2025,,38,17495.0,27995.0,https://www.padelnuestro.com/int/adidas-cross-lt-carbon-ctrl-2025,"=HYPERLINK(""https://www.padelnuestro.com/int/adidas-cross-lt-carbon-ctrl-2025"",""View"")","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=","=HYPERLINK(""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="",""Img"")"
ADIDAS CROSS IT CTRL 3.4 2025,,41,20495.0,34995.0,https://www.padelnuestro.com/int/adidas-cross-lt-ctrl-3-4-2025,"=HYPERLINK(""https://www.padelnuestro.com/int/adidas-cross-lt-ctrl-3-4-2025"",""View"")","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=","=HYPERLINK(""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="",""Img"")"
ADIDAS CROSS IT 3.4 2025,,0,34995.0,,https://www.padelnuestro.com/int/adidas-cross-lt-3-4-2025,"=HYPERLINK(""https://www.padelnuestro.com/int/adidas-cross-lt-3-4-2025"",""View"")","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=","=HYPERLINK(""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="",""Img"")"
ADIDAS METALBONE CARBON CTRL 3.4 2025,,0,25995.0,26000.0,https://www.padelnuestro.com/int/pala-adidas-metalbone-carbon-ctrl-3-4-ar1ca1u45,"=HYPERLINK(""https://www.padelnuestro.com/int/pala-adidas-metalbone-carbon-ctrl-3-4-ar1ca1u45"",""View"")","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=","=HYPERLINK(""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="",""Img"")"
ADIDAS METALBONE 3.3 2024 - ALE GALÁN,,50,18995.0,37995.0,https://www.padelnuestro.com/int/adidas-metalbone-3-3-2024-110141-p,"=HYPERLINK(""https://www.padelnuestro.com/int/adidas-metalbone-3-3-2024-110141-p"",""View"")","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=","=HYPERLINK(""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="",""Img"")"
ADIDAS METALBONE CARBON 3.3 2024,,46,13995.0,25995.0,https://www.padelnuestro.com/int/adidas-metalbone-carbon-3-3-2024-110142-p,"=HYPERLINK(""https://www.padelnuestro.com/int/adidas-metalbone-carbon-3-3-2024-110142-p"",""View"")","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=","=HYPERLINK(""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="",""Img"")"
