name,badge,discount,old_price,price,product_url,brand
BABOLAT VIPER JUAN LEBRON 2025,,27,379.95,277.95,https://www.padelnuestro.com/int/babolat-technical-viper-juan-lebron-2025,Babolat
BABOLAT TECHNICAL VERON JUAN LEBRÓN 2025,,20,259.95,207.95,https://www.padelnuestro.com/int/babolat-technical-veron-juan-lebron-2025,Babolat
BABOLAT TECHNICAL VERTUO JUAN LEBRÓN 2025,,20,199.95,159.95,https://www.padelnuestro.com/int/babolat-technical-vertuo-juan-lebron-2025,Babolat
BABOLAT TECHNICAL VIPER 2025,,31,320.00,221.95,https://www.padelnuestro.com/int/babolat-technical-viper-2025,Babolat
BABOLAT TECHNICAL VERON 2025,,29,239.95,169.95,https://www.padelnuestro.com/int/babolat-technical-veron-2025,Babolat
BABOLAT TECHNICAL VERTUO 2025,,22,179.95,139.95,https://www.padelnuestro.com/int/babolat-technical-vertuo-2025,Babolat
BABOLAT AIR VIPER 2025,,29,320.00,225.95,https://www.padelnuestro.com/int/babolat-air-viper-2025,Babolat
BABOLAT AIR VERON 2025,,25,240.00,179.95,https://www.padelnuestro.com/int/babolat-air-veron-2025,Babolat
BABOLAT AIR VERTUO 2025,,22,179.95,139.95,https://www.padelnuestro.com/int/babolat-air-vertuo-2025,Babolat
BABOLAT COUNTER VIPER 2025,,27,320.00,234.95,https://www.padelnuestro.com/int/babolat-counter-viper-2025,Babolat
BABOLAT COUNTER VERON 2025,,27,239.95,174.95,https://www.padelnuestro.com/int/babolat-counter-veron-2025,Babolat
BABOLAT COUNTER VERTUO 2025,,19,179.95,144.95,https://www.padelnuestro.com/int/babolat-counter-vertuo-2025,Babolat
BABOLAT STIMA ENERGY 2023,,35,240.00,154.95,https://www.padelnuestro.com/int/babolat-stima-energy-2023-103650-p,Babolat
BABOLAT TECHNICAL VIPER JUAN LEBRON 2024,,45,379.95,209.95,https://www.padelnuestro.com/int/babolat-technical-viper-juan-lebron-2024-110461-p,Babolat
BABOLAT TECHNICAL VIPER 2024,,55,319.95,144.95,https://www.padelnuestro.com/int/babolat-technical-viper-2024-110465-p,Babolat
BABOLAT TECHNICAL VERON 2024,,50,239.95,119.95,https://www.padelnuestro.com/int/babolat-technical-veron-2024-110463-p,Babolat
BABOLAT COUNTER VERON 2024,,50,239.95,119.95,https://www.padelnuestro.com/int/babolat-counter-veron-2024-110453-p,Babolat
BABOLAT TECHNICAL VERTUO 2023,,50,179.95,89.95,https://www.padelnuestro.com/int/babolat-technical-vertuo-2023-103652-p,Babolat
BABOLAT COUNTER VERTUO 2023,,50,179.95,89.95,https://www.padelnuestro.com/int/babolat-counter-vertuo-2023-103646-p,Babolat
BABOLAT COUNTER VERTUO 2022,,33,150.00,99.95,https://www.padelnuestro.com/int/babolat-counter-vertuo-2022-25926-p,Babolat
BABOLAT REVEAL 2022,,44,80.00,44.95,https://www.padelnuestro.com/int/babolat-reveal-2022-29150-p,Babolat
BABOLAT X LAMBORGHINI BL002 SCANDAL GREEN,,,,600.00,https://www.padelnuestro.com/int/babolat-x-lamborghini-bl002-scandal-green,Babolat
BABOLAT X LAMBORGHINI BL002 BLACK,,,,600.00,https://www.padelnuestro.com/int/babolat-x-lamborghini-bl-002-black,Babolat
BABOLAT DYNA ENERGY 2023,Out of stock,,240.00,159.95,https://www.padelnuestro.com/int/babolat-dyna-energy-2023-103648-p,Babolat
BABOLAT TECH VERON JUAN LEBRÓN 2024,Out of stock,,259.95,129.95,https://www.padelnuestro.com/int/babolat-tech-veron-juan-lebron-2024-110459-p,Babolat
BABOLAT AIR VIPER 2024,Out of stock,,319.95,179.95,https://www.padelnuestro.com/int/babolat-air-viper-2024-110451-p,Babolat
Babolat Air Vertuo 2022,Out of stock,,150.00,89.95,https://www.padelnuestro.com/int/babolat-air-vertuo-2022-25925-p,Babolat
TEST PADEL RACKET BABOLAT AIR VERON 2025,Out of stock,,240.00,215.95,https://www.padelnuestro.com/int/test-padel-racket-babolat-air-veron-2025,Babolat
BABOLAT AIR VERTUO 2023,Out of stock,,179.95,89.95,https://www.padelnuestro.com/int/babolat-air-vertuo-2023-103664-p,Babolat
BULLPADEL XPLO PREMIER 2025,,20,314.95,251.95,https://www.padelnuestro.com/int/bullpadel-xplo-premier-2025,Bullpadel
BULLPADEL XPLO 25,,29,339.95,239.95,https://www.padelnuestro.com/int/bullpadel-xplo-2025-113777-p,Bullpadel
BULLPADEL XPLO COMFORT 25,,32,249.95,169.95,https://www.padelnuestro.com/int/bullpadel-xplo-comfort-25-113778-p,Bullpadel
BULLPADEL HACK 04 2025 - PAQUITO NAVARRO,,30,329.95,229.95,https://www.padelnuestro.com/int/bullpadel-hack-04-25-113754-p,Bullpadel
BULLPADEL HACK 04 PREMIER 2025,,20,314.99,251.95,https://www.padelnuestro.com/int/bullpadel-hack-04-premier-2025,Bullpadel
BULLPADEL HACK 04 HYBRID 25,,39,329.95,199.95,https://www.padelnuestro.com/int/bullpadel-hack-04-hybrid-25-113755-p,Bullpadel
Bullpadel Vertex 03 CMF Xseries 494314 (SMU),,36,219.95,139.95,https://www.padelnuestro.com/int/pala-bullpadel-vertex-03-cmf-xseries-494314-smu,Bullpadel
Bullpadel Ionic Power 2022,,63,199.99,74.95,https://www.padelnuestro.com/int/bullpadel-ionic-power-2022-26114-p,Bullpadel
BULLPADEL VERTEX 04 25,,29,339.95,239.95,https://www.padelnuestro.com/int/bullpadel-vertex-04-25-113772-p,Bullpadel
BULLPADEL VERTEX 04 HYBRID 25,,32,339.95,229.95,https://www.padelnuestro.com/int/bullpadel-vertex-04-hybrid-25-113773-p,Bullpadel
BULLPADEL VERTEX 04,,43,299.95,169.95,https://www.padelnuestro.com/int/bullpadel-vertex-04-110865-p,Bullpadel
BULLPADEL NEURON 25,,30,319.95,224.95,https://www.padelnuestro.com/int/bullpadel-neuron-25-113768-p,Bullpadel
BULLPADEL NEURON CLOUD 2025,,19,277.95,224.95,https://www.padelnuestro.com/int/bullpadel-neuron-cloud-2025,Bullpadel
BULLPADEL NEURON PREMIER 2025,,20,314.95,251.95,https://www.padelnuestro.com/int/bullpadel-neuron-premier-2025,Bullpadel
BULLPADEL NEURON,,48,269.95,139.95,https://www.padelnuestro.com/int/bullpadel-neuron-110864-p,Bullpadel
BULLPADEL VERTEX 04 25 WOMEN'S,,37,269.95,169.95,https://www.padelnuestro.com/int/bullpadel-vertex-04-25-women-s-113774-p,Bullpadel
BULLPADEL PEARL BEA GONZALEZ 2024,,38,272.95,169.95,https://www.padelnuestro.com/int/bullpadel-pearl-bea-gonzalez-2024-112922-p,Bullpadel
BULLPADEL PEARL CLOUD 2025,,19,277.95,224.95,https://www.padelnuestro.com/int/bullpadel-pearl-cloud-2025,Bullpadel
BULLPADEL ICON 2025,,30,299.95,209.95,https://www.padelnuestro.com/int/bullpadel-icon-2025,Bullpadel
BULLPADEL ICON CLOUD 2025,,19,277.95,224.95,https://www.padelnuestro.com/int/bullpadel-icon-cloud-2025,Bullpadel
BULLPADEL HACK JUNIOR 2023,,44,89.95,49.95,https://www.padelnuestro.com/int/bullpadel-hack-junior-2023-32440-p,Bullpadel
BULLPADEL VERTEX W JR 2025,,24,89.95,67.95,https://www.padelnuestro.com/int/bullpadel-vertex-w-jr-2025,Bullpadel
BULLPADEL HACK 03 24 - PAQUITO NAVARRO,,48,289.95,149.95,https://www.padelnuestro.com/int/bullpadel-hack-03-24-110861-p,Bullpadel
BULLPADEL HACK 03 COMFORT 24,,45,219.95,119.95,https://www.padelnuestro.com/int/bullpadel-hack-03-comfort-24-110862-p,Bullpadel
BULLPADEL VERTEX 04 HYBRID,,43,299.95,169.95,https://www.padelnuestro.com/int/bullpadel-vertex-04-hybrid-110867-p,Bullpadel
BULLPADEL IONIC CONTROL 2025,,32,197.96,134.95,https://www.padelnuestro.com/int/bullpadel-ionic-control-2025,Bullpadel
BULLPADEL RAIDER POWER BLUE,,50,99.95,49.95,https://www.padelnuestro.com/int/bullpadel-raider-power-blue-26104-p,Bullpadel
BULLPADEL INDIGA PWR 2024,,38,79.95,49.95,https://www.padelnuestro.com/int/bullpadel-indiga-pwr-2024-32437-p,Bullpadel
BULLPADEL AXYM DB 2022,,61,179.95,69.95,https://www.padelnuestro.com/int/bullpadel-axym-db-2022-26116-p,Bullpadel
BULLPADEL VERTEX 04 COMFORT,,43,219.95,124.95,https://www.padelnuestro.com/int/bullpadel-vertex-04-comfort-110866-p,Bullpadel
BULLPADEL VERTEX 04 JR 2025,,24,89.95,67.95,https://www.padelnuestro.com/int/bullpadel-vertex-04-jr-2025,Bullpadel
BULLPADEL BP10 EVO 2025,,25,119.95,89.95,https://www.padelnuestro.com/int/bullpadel-bp10-evo-2025,Bullpadel
BULLPADEL K2 POWER 2025,,25,99.95,74.95,https://www.padelnuestro.com/int/bullpadel-k2-power-2025,Bullpadel
BULLPADEL IONIC POWER 2025,,32,197.96,134.95,https://www.padelnuestro.com/int/bullpadel-ionic-power-2025,Bullpadel
BULLPADEL INDIGA W 2025 WOMEN'S,,19,79.94,64.95,https://www.padelnuestro.com/int/bullpadel-indiga-w-2025-women-s,Bullpadel
BULLPADEL HACK JUNIOR 2025,,28,89.95,64.95,https://www.padelnuestro.com/int/bullpadel-hack-junior-2025,Bullpadel
BULLPADEL FLOW LIGHT 2025,,28,124.94,89.95,https://www.padelnuestro.com/int/bullpadel-flow-light-2025,Bullpadel
BULLPADEL VERTEX BOY JUNIOR 2023,,44,89.99,49.95,https://www.padelnuestro.com/int/bullpadel-vertex-boy-junior-2023-32441-p,Bullpadel
BULLPADEL ELITE LIGHT W WOMEN 2023,,59,184.95,74.95,https://www.padelnuestro.com/int/bullpadel-elite-light-w-women-2023-32433-p,Bullpadel
BULLPADEL IONIC CONTROL 2023,,55,219.95,99.95,https://www.padelnuestro.com/int/bullpadel-ionic-control-2023-32431-p,Bullpadel
BULLPADEL ELITE W 25 WOMEN'S,,30,299.95,209.95,https://www.padelnuestro.com/int/bullpadel-elite-w-25-women-s-113751-p,Bullpadel
BULLPADEL FLOW 25 WOMAN,,30,269.95,189.95,https://www.padelnuestro.com/int/bullpadel-flow-25-woman-113753-p,Bullpadel
BULLPADEL FLOW LIGHT WOMAN 2023,Out of stock,,124.95,45.95,https://www.padelnuestro.com/int/bullpadel-flow-light-woman-2023-32436-p,Bullpadel
Bullpadel Hack 03 Comfort 23,Out of stock,,244.95,99.95,https://www.padelnuestro.com/int/bullpadel-hack-03-comfort-23-32423-p,Bullpadel
BULLPADEL HACK 03 CONTROL 2022,Out of stock,,324.95,114.95,https://www.padelnuestro.com/int/bullpadel-hack-03-control-2022-26107-p,Bullpadel
BULLPADEL NEURON TF 2024,Out of stock,,399.95,199.95,https://www.padelnuestro.com/int/bullpadel-neuron-tf-2024,Bullpadel
BULLPADEL VERTEX 04 W PREMIER 2025,Out of stock,,249.95,199.95,https://www.padelnuestro.com/int/bullpadel-vertex-04-w-premier-2025,Bullpadel
BULLPADEL HACK 03 MASTER FINAL 2022,Out of stock,,449.95,164.95,https://www.padelnuestro.com/int/bullpadel-hack-03-master-final-2022-32445-p,Bullpadel
BULLPADEL IONIC LIGHT 2025,Out of stock,,164.95,114.95,https://www.padelnuestro.com/int/bullpadel-ionic-light-2025,Bullpadel
BULLPADEL IONIC LIGHT TF 2024,Out of stock,,239.95,159.95,https://www.padelnuestro.com/int/bullpadel-ionic-light-tf-2024,Bullpadel
BULLPADEL XPLO TF 2024,Out of stock,,399.95,214.95,https://www.padelnuestro.com/int/bullpadel-xplo-tf-2024,Bullpadel
BULLPADEL FLOW WOMAN,Out of stock,,235.00,99.95,https://www.padelnuestro.com/int/bullpadel-flow-woman,Bullpadel
BULLPADEL VERTEX 04 TF 2024,Out of stock,,399.99,214.95,https://www.padelnuestro.com/int/bullpadel-vertex-04-tf-2024,Bullpadel
Bullpadel Pearl Tf 2024,Out of stock,,300.00,149.95,https://www.padelnuestro.com/int/bullpadel-pearl-tf-2024,Bullpadel
BULLPADEL HACK 03 JR 2024,Out of stock,,89.95,54.95,https://www.padelnuestro.com/int/bullpadel-hack-03-jr-2024-110910-p,Bullpadel
BULLPADEL HACK 04 TF 2024,Out of stock,,399.95,214.95,https://www.padelnuestro.com/int/bullpadel-hack-04-tf-2024,Bullpadel
BULLPADEL VERTEX 03 COMFORT 2023,Out of stock,,244.95,109.95,https://www.padelnuestro.com/int/bullpadel-vertex-03-comfort-2023-32426-p,Bullpadel
BULLPADEL ELITE TF 24,Out of stock,,300.00,161.95,https://www.padelnuestro.com/int/bullpadel-elite-tf-24,Bullpadel
BULLPADEL VERTEX 03 COMFORT 2022,Out of stock,,224.95,109.95,https://www.padelnuestro.com/int/bullpadel-vertex-03-comfort-2022-26113-p,Bullpadel
BULLPADEL LEGEND 4.0 WOMAN,Out of stock,,199.95,69.95,https://www.padelnuestro.com/int/bullpadel-legend-4-0-woman-26842-p,Bullpadel
BULLPADEL VERTEX 03 WOMAN 2022,Out of stock,,224.95,99.95,https://www.padelnuestro.com/int/bullpadel-vertex-03-woman-2022-26111-p,Bullpadel
BULLPADEL VERTEX 03 2023,Out of stock,,349.95,149.95,https://www.padelnuestro.com/int/bullpadel-vertex-03-2023-32424-p,Bullpadel
PACK BULLPADEL VERTEX04 MANTÍN DI NENNO 2024,Out of stock,,,199.95,https://www.padelnuestro.com/int/pack-bullpadel-vertex04-mantin-di-nenno-2024,Bullpadel
BULLPADEL INDIGA CONTROL 2025,Out of stock,,79.94,64.95,https://www.padelnuestro.com/int/bullpadel-indiga-control-2025,Bullpadel
Bullpadel Vertex 04 Master Final 2023,Out of stock,,349.94,189.95,https://www.padelnuestro.com/int/bullpadel-vertex-04-master-final-2023-111380-p,Bullpadel
Bullpadel Hack 03 Master Final 23,Out of stock,,349.94,178.95,https://www.padelnuestro.com/int/bullpadel-hack-03-master-final-23-111378-p,Bullpadel
BULLPADEL GOLD XSERIES 3.0,Out of stock,,239.96,59.95,https://www.padelnuestro.com/int/bullpadel-gold-xseries-3-0-24563-p,Bullpadel
BULLPADEL INDIGA POWER 2025,Out of stock,,79.94,64.95,https://www.padelnuestro.com/int/bullpadel-indiga-power-2025,Bullpadel
BULLPADEL INDIGA GIRL 2025,Out of stock,,59.96,49.95,https://www.padelnuestro.com/int/bullpadel-indiga-girl-2025,Bullpadel
BULLPADEL VERTEX 04 W TF 2024 WOMAN,Out of stock,,300.00,199.95,https://www.padelnuestro.com/int/bullpadel-vertex-04-w-tf-2024-mujer,Bullpadel
BULLPADEL HACK 03 HYBRID 24,Out of stock,,289.95,159.95,https://www.padelnuestro.com/int/bullpadel-hack-03-hybrid-24-110863-p,Bullpadel
BULLPADEL INDIGA BOY 2025,Out of stock,,59.96,49.95,https://www.padelnuestro.com/int/bullpadel-indiga-boy-2025,Bullpadel
BULLPADEL INDIGA POWER 2022 PADEL RACKET,Out of stock,,79.95,49.95,https://www.padelnuestro.com/int/bullpadel-indiga-power-2022-padel-racket-26122-p,Bullpadel
BULLPADEL ELITE W 24,Out of stock,,277.95,159.95,https://www.padelnuestro.com/int/bullpadel-elite-w-24-110859-p,Bullpadel
BULLPADEL FLOW TF 24,Out of stock,,300.00,181.95,https://www.padelnuestro.com/int/bullpadel-flow-tf-24,Bullpadel
BULLPADEL HACK 02 PRF 2024,Out of stock,,139.95,79.95,https://www.padelnuestro.com/int/bullpadel-hack-02-prf-2024-110909-p,Bullpadel
BULLPADEL K2 POWER 2023,Out of stock,,99.95,49.95,https://www.padelnuestro.com/int/bullpadel-k2-power-2023-32434-p,Bullpadel
BULLPADEL RAIDER CONTROL,Out of stock,,99.95,58.95,https://www.padelnuestro.com/int/bullpadel-raider-control-21725-p,Bullpadel
BULLPADEL ELITE W WOMAN 2023,Out of stock,,279.95,109.95,https://www.padelnuestro.com/int/bullpadel-elite-w-woman-2023-32429-p,Bullpadel
BULLPADEL VERTEX 03 W WOMEN'S 2023,Out of stock,,259.95,74.95,https://www.padelnuestro.com/int/bullpadel-vertex-03-w-women-s-2023-32427-p,Bullpadel
HEAD COELLO PRO 2025,,14,350.00,299.95,https://www.padelnuestro.com/int/head-coello-pro-2025,Head
HEAD COELLO MOTION 2025,,14,350.00,299.95,https://www.padelnuestro.com/int/head-coello-motion-2025,Head
HEAD COELLO TEAM 2025,,30,219.95,154.95,https://www.padelnuestro.com/int/head-coello-team-2025,Head
HEAD SPEED ONE X 2025,,15,300.00,254.95,https://www.padelnuestro.com/int/head-speed-one-x-2025,Head
HEAD SPEED ONE 2025,,14,280.00,239.95,https://www.padelnuestro.com/int/head-speed-one-2025,Head
HEAD EXTREME ONE 2023,,41,279.95,164.95,https://www.padelnuestro.com/int/head-extreme-one-2023-110103-p,Head
HEAD ONE ULTRALIGHT WHITE 2025,,44,239.95,134.95,https://www.padelnuestro.com/int/head-one-ultralight-white-2025,Head
HEAD ONE ULTRALIGHT BLACK 2025,,44,239.95,134.95,https://www.padelnuestro.com/int/pala-head-one-ultralight-black-225024,Head
HEAD SPEED PRO X 2025,,15,300.00,254.95,https://www.padelnuestro.com/int/head-speed-pro-x-2025,Head
HEAD SPEED PRO 2025,,14,280.00,239.95,https://www.padelnuestro.com/int/head-speed-pro-2025,Head
HEAD SPEED MOTION 2025 - ARI SANCHEZ,,25,240.00,179.95,https://www.padelnuestro.com/int/head-speed-motion-2025,Head
HEAD SPEED TEAM 2025,,15,200.00,169.95,https://www.padelnuestro.com/int/head-speed-team-2025,Head
HEAD GRAVITY TEAM 2024,,33,179.95,119.95,https://www.padelnuestro.com/int/head-gravity-team-2024-113826-p,Head
HEAD GRAVITY TEAM LIGHT 2024,,27,149.96,109.95,https://www.padelnuestro.com/int/head-gravity-team-light-2024-113829-p,Head
HEAD EXTREME PRO,,38,279.95,174.95,https://www.padelnuestro.com/int/head-extreme-pro-110105-p,Head
HEAD EXTREME MOTION 2023 PADEL RACKET,,35,239.95,154.95,https://www.padelnuestro.com/int/head-extreme-motion-2023-padel-racket-110102-p,Head
HEAD EXTREME ELITE 2023,,40,199.95,119.95,https://www.padelnuestro.com/int/head-extreme-elite-2023-110100-p,Head
HEAD EVO SPEED 2025,,22,90.00,69.95,https://www.padelnuestro.com/int/head-evo-speed-2025,Head
